平成22年国勢調査（総務省統計局）																																																																																			
都道府県・市区町村別主要統計表（平成22年）																																																																																			
"注）総数には「不詳」を含むため、内訳を合計しても総数に一致しない。
"																																																																																			
　割合は，分母から不詳を除いて算出している。　　							用語の解説																																																																												
  産業３部門別割合は，分母から「分類不能の産業」を除いて算出している。																																																																																			
地域	人口	平成17年	平成17年～22年の	平成17年～22年の					年齢（総数）	年齢別割合（総数）	年齢（男）	年齢別割合（男）	年齢（女）	年齢別割合（女）		国籍	世帯							昼間人口	"昼夜間
人口比率"
01	01206				2	北海道	釧路市	181,169	190,478	-9,309	-4.9 	1,362.75	132.9	46.9 	49.2 	181,169	21,772	113,635	45,737	12.0 	62.7 	25.2 	85,474	11,045	55,146	19,262	12.9 	64.5 	22.5 	95,695	10,727	58,489	26,475	11.2 	61.1 	27.7 	89.3 	180,811	358	81,015	80,856	159	82,079	80,856	47,429	20,176	18,916	1,112	7,225	27,548	9,330	10,083	2,857	79,175	1,917	14,808	58,689	2.5	19.6	77.8	1,099	932	818	418	7,133	7,257	480	648	6,118	14,552	2,128	1,109	1,999	5,533	3,347	3,386	9,610	551	5,301	3,927	3,761	182,016	100.5
01	01207				2	北海道	帯広市	168,057	170,580	-2,523	-1.5 	618.94	271.5	45.1 	45.8 	168,057	21,472	109,040	37,544	12.8 	64.9 	22.3 	80,584	10,985	53,468	16,130	13.6 	66.4 	20.0 	87,473	10,487	55,572	21,414	12.0 	63.5 	24.5 	92.1 	167,634	422	75,474	75,252	222	73,629	75,252	42,437	17,704	17,968	902	5,863	27,517	7,205	8,518	2,660	79,662	3,702	13,817	55,044	5.1	19.0	75.9	3,690	3,512	12	28	7,485	6,304	292	654	4,402	14,809	1,814	1,190	2,171	4,861	3,138	3,183	8,857	568	4,598	4,507	7,099	175,656	104.5
01	01208				2	北海道	北見市	125,689	129,365	-3,676	-2.8 	1,427.56	88.0	46.9 	48.6 	125,689	15,283	78,202	31,872	12.2 	62.4 	25.4 	60,171	7,813	38,700	13,424	13.0 	64.6 	22.4 	65,518	7,470	39,502	18,448	11.4 	60.4 	28.2 	91.8 	125,407	261	56,012	55,887	125	55,335	55,887	32,067	14,215	12,973	576	4,303	19,416	5,612	7,232	2,323	58,179	4,139	10,251	40,016	7.6	18.8	73.6	3,664	3,437	475	58	5,598	4,595	332	675	3,269	10,682	1,358	727	1,249	3,541	2,193	2,662	6,794	676	3,645	2,213	3,773	125,627	100.0
01	01209				2	北海道	夕張市	10,922	13,001	-2,079	-16.0 	763.20	14.3	57.2 	61.6 	10,922	719	5,417	4,786	6.6 	49.6 	43.8 	5,179	363	2,860	1,956	7.0 	55.2 	37.8 	5,743	356	2,557	2,830	6.2 	44.5 	49.3 	90.2 	10,867	54	5,558	5,360	198	6,275	5,360	2,809	1,631	700	78	400	2,177	1,248	1,083	174	4,660	640	1,172	2,848	13.7	25.2	61.1	640	611	-	1	517	654	31	8	226	552	38	19	30	323	217	156	476	99	402	271	-	11,446	104.8
01	01210	札幌			2	北海道	岩見沢市	90,145	93,677	-3,532	-3.8 	481.10	187.4	48.2 	50.9 	90,145	10,253	54,834	25,032	11.4 	60.8 	27.8 	42,111	5,251	26,401	10,441	12.5 	62.7 	24.8 	48,034	5,002	28,433	14,591	10.4 	59.2 	30.4 	87.7 	89,949	118	36,723	36,641	82	37,322	36,641	22,677	9,538	9,432	471	3,236	10,349	4,371	5,336	2,153	39,391	3,636	6,894	28,001	9.4	17.9	72.7	3,635	3,558	1	20	3,612	3,262	160	414	2,333	6,811	708	528	918	2,090	1,688	1,900	5,252	507	2,432	2,260	860	86,846	96.3
01	01211				2	北海道	網走市	40,998	42,045	-1,047	-2.5 	471.00	87.0	45.4 	46.4 	40,998	5,061	26,578	9,324	12.4 	64.9 	22.8 	20,981	2,656	14,269	4,030	12.7 	68.1 	19.2 	20,017	2,405	12,309	5,294	12.0 	61.5 	26.5 	104.8 	40,828	169	18,112	18,064	48	17,982	18,064	9,368	4,169	3,852	201	1,146	7,163	1,672	2,026	942	18,703	2,136	3,111	12,659	11.9	17.4	70.7	1,428	1,394	708	-	1,574	1,537	55	109	897	2,612	344	184	694	1,317	675	882	2,043	228	1,027	1,592	797	41,591	101.4
01	01212				2	北海道	留萌市	24,457	26,826	-2,369	-8.8 	297.51	82.2	48.7 	51.6 	24,457	2,751	14,807	6,899	11.2 	60.5 	28.2 	11,679	1,394	7,443	2,842	11.9 	63.7 	24.3 	12,778	1,357	7,364	4,057	10.6 	57.6 	31.7 	91.4 	24,344	113	11,044	11,016	28	11,666	11,016	6,448	3,062	2,382	147	857	3,752	1,362	1,563	398	11,532	395	2,508	8,533	3.5	21.9	74.6	248	201	147	2	1,280	1,226	65	98	664	1,709	265	113	425	594	403	431	1,391	101	647	1,627	96	24,916	101.9
01	01213				2	北海道	苫小牧市	173,320	172,758	562	0.3 	561.48	308.7	44.5 	45.2 	173,320	23,476	113,284	36,515	13.5 	65.4 	21.1 	84,687	11,930	57,046	15,670	14.1 	67.4 	18.5 	88,633	11,546	56,238	20,845	13.0 	63.5 	23.5 	95.5 	172,926	378	76,289	76,167	122	72,845	76,167	45,242	18,265	19,868	1,002	6,107	25,947	7,277	8,287	2,435	80,205	1,231	19,896	53,213	1.7	26.8	71.6	1,073	1,011	158	195	8,823	10,878	767	535	8,188	12,558	1,432	1,087	1,377	4,477	3,474	2,798	8,397	303	5,565	2,255	5,865	173,468	100.1
01	01214				2	北海道	稚内市	39,595	41,592	-1,997	-4.8 	760.89	52.0	46.7 	48.4 	39,595	4,807	25,125	9,663	12.1 	63.5 	24.4 	19,315	2,407	12,871	4,037	12.5 	66.6 	20.9 	20,280	2,400	12,254	5,626	11.8 	60.4 	27.7 	95.2 	39,328	267	17,343	17,315	28	17,820	17,315	9,886	4,291	4,063	250	1,282	5,831	1,820	2,016	872	18,473	1,418	3,700	11,811	8.4	21.9	69.8	531	484	887	7	1,745	1,948	76	91	1,047	2,818	389	191	415	1,091	670	734	1,464	243	1,081	1,501	1,544	39,775	100.5
01	01215				2	北海道	美唄市	26,034	29,083	-3,049	-10.5 	277.61	93.8	51.0 	55.2 	26,034	2,573	14,887	8,555	9.9 	57.2 	32.9 	12,215	1,344	7,363	3,496	11.0 	60.3 	28.6 	13,819	1,229	7,524	5,059	8.9 	54.5 	36.6 	88.4 	25,959	75	10,992	10,918	74	11,894	10,918	6,149	2,850	2,231	138	930	3,581	1,734	1,736	713	10,900	1,601	2,328	6,781	14.9	21.7	63.3	1,601	1,594	-	20	1,209	1,099	57	51	519	1,250	151	88	119	575	353	435	1,610	207	613	753	190	25,829	99.2
